,Region,Variables,R_2,Var_R,Random_seed
49,CincinnatiDayton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7392152356458441,0.0843142031464168,4
50,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7530462917338351,0.11984206019758725,0
51,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8197894970607096,0.05607668069268579,1
52,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.3172144621008395,0.49327158443862573,2
53,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.552195331494812,0.31200128413629613,3
54,Columbus,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.41581898182694177,0.4150994938287793,4
55,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7482031054832009,0.0019461717089480635,0
56,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9696891801013201,0.017618366953569442,1
57,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9093024205069058,0.03323414427334204,2
58,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7902125495606517,0.12348410141773625,3
59,DallasFtWorth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.94982112682094,0.0013792499150929727,4
60,Denver,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6173776065926606,0.26387909026973677,0
61,Denver,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6565187630688072,0.12409950235822309,1
62,Denver,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8823481181149698,0.002881271977120292,2
63,Denver,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9090204736257136,0.03206116970245265,3
64,Denver,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7933921605627514,0.05913269320429859,4
65,Detroit,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.612475644201893,0.2518841658659431,0
66,Detroit,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.80149851661089,0.08282117564845703,1
67,Detroit,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7980388497682783,0.07309903425362818,2
68,Detroit,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8660152659023911,0.014843583749602707,3
69,Detroit,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5094638657521395,0.3759923965087255,4
70,GrandRapids,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8236553193505924,0.006526037724813416,0
71,GrandRapids,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.893427504254388,0.010343966332004517,1
72,GrandRapids,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7453082782554747,0.13751061390528507,2
73,GrandRapids,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6005556611140224,0.25065574483637243,3
74,GrandRapids,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8323530402129695,0.03566351324104844,4
75,GreatLakes,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8597063596504161,0.03741325334987167,0
76,GreatLakes,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.895307959450762,0.03198529388854876,1
77,GreatLakes,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7821864872535295,0.15141560479199734,2
78,GreatLakes,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.3768093001066968,0.3153797164987665,3
79,GreatLakes,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8269264006104796,0.029005953341091906,4
80,HarrisburgScranton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.769814305278175,0.10565795346786522,0
81,HarrisburgScranton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7263217576490846,0.14798136004712914,1
82,HarrisburgScranton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8800902310002711,0.048113579464388434,2
83,HarrisburgScranton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.45691927778898733,0.35526331125622634,3
84,HarrisburgScranton,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.872491309002092,0.02581242781475157,4
85,HartfordSpringfield,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9371302864652422,0.06182816620685949,0
86,HartfordSpringfield,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.4058165575748086,0.5166654800309263,1
87,HartfordSpringfield,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9418419185213008,0.014583063512842331,2
88,HartfordSpringfield,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.856644341430794,0.059868376025935977,3
89,HartfordSpringfield,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8943751675147478,0.03829957749149049,4
90,Houston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8943207002370119,0.05231109419774471,0
91,Houston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9272188851685105,0.012114345593836173,1
92,Houston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8959854882274809,0.04318413314029146,2
93,Houston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8711958473695718,0.05167111480073949,3
94,Houston,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9403173949821503,0.0015574003198151054,4
95,Indianapolis,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8511532880896361,0.012702315718478019,0
96,Indianapolis,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8711295800252659,0.012128817510587031,1
97,Indianapolis,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8445279040784004,0.03350854278890569,2
98,Indianapolis,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5571632967190037,0.1897583975328112,3
99,Indianapolis,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.1774253147887317,0.4578579869938484,4
100,Jacksonville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8505915453335364,0.04192811784860351,0
101,Jacksonville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7911066933908872,0.120031025846981,1
102,Jacksonville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.802696343252355,0.10802446524519693,2
103,Jacksonville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7864844933326616,0.04415133490753398,3
104,Jacksonville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8611975472710839,0.039415611894212166,4
105,LasVegas,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9150871006655596,0.027728558182503527,0
106,LasVegas,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9259612031884249,0.013937371230145712,1
107,LasVegas,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9231681359585397,0.01897190176846908,2
108,LasVegas,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9199369527486759,0.020179108867054873,3
109,LasVegas,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9296599851550864,0.01181513127367706,4
110,LosAngeles,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9560504905361091,0.014617904163107598,0
